"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4148","User_Can_SearchBy_ProgramField_With_INValidData","Default Suite","Mon Aug 12 12:19:33 EEST 2024","passed","Mon Aug 12 12:19:37 EEST 2024","TestCases.TC01_SearchByProgramTest","EducaltyProject","TestCases.TC01_SearchByProgramTest","User_Can_SearchBy_ProgramField_With_INValidData"
"","4557","User_Can_SearchBy_CountryField_With_ValidData","Default Suite","Mon Aug 12 00:36:46 EEST 2024","passed","Mon Aug 12 00:36:50 EEST 2024","TestCases.TC02_SearchByCountry","EducaltyProject","TestCases.TC02_SearchByCountry","User_Can_SearchBy_CountryField_With_ValidData"
"","3693","User_Can_SearchBy_CountryField_With_INValidData","Default Suite","Mon Aug 12 00:44:30 EEST 2024","passed","Mon Aug 12 00:44:33 EEST 2024","TestCases.TC02_SearchByCountry","EducaltyProject","TestCases.TC02_SearchByCountry","User_Can_SearchBy_CountryField_With_INValidData"
"","5482","User_Can_SearchBy_CountryField_With_ValidData","Educatly suite","Mon Aug 12 12:24:15 EEST 2024","passed","Mon Aug 12 12:24:21 EEST 2024","TestCases.TC02_SearchByCountry","ChromeTests","TestCases.TC02_SearchByCountry","User_Can_SearchBy_CountryField_With_ValidData"
"","4442","User_Can_SearchBy_CountryField_With_INValidData","Educatly suite","Mon Aug 12 12:24:28 EEST 2024","passed","Mon Aug 12 12:24:33 EEST 2024","TestCases.TC02_SearchByCountry","ChromeTests","TestCases.TC02_SearchByCountry","User_Can_SearchBy_CountryField_With_INValidData"
"","4314","User_Search_ByBoth_Program_And_Country_With_INValidData","Default Suite","Mon Aug 12 01:29:35 EEST 2024","passed","Mon Aug 12 01:29:39 EEST 2024","TestCases.TC03_CombinedSearchTest","EducaltyProject","TestCases.TC03_CombinedSearchTest","User_Search_ByBoth_Program_And_Country_With_INValidData"
"","5986","User_Can_SearchBy_ProgramField_With_ValidData","Default Suite","Mon Aug 12 12:07:35 EEST 2024","passed","Mon Aug 12 12:07:41 EEST 2024","TestCases.TC01_SearchByProgramTest","EducaltyProject","TestCases.TC01_SearchByProgramTest","User_Can_SearchBy_ProgramField_With_ValidData"
"","4626","User_Can_SearchBy_ProgramField_With_INValidData","Educatly suite","Mon Aug 12 12:24:02 EEST 2024","passed","Mon Aug 12 12:24:07 EEST 2024","TestCases.TC01_SearchByProgramTest","ChromeTests","TestCases.TC01_SearchByProgramTest","User_Can_SearchBy_ProgramField_With_INValidData"
"","6461","User_Can_SearchBy_ProgramField_With_ValidData","Educatly suite","Mon Aug 12 12:17:38 EEST 2024","passed","Mon Aug 12 12:17:44 EEST 2024","TestCases.TC01_SearchByProgramTest","edgeTests","TestCases.TC01_SearchByProgramTest","User_Can_SearchBy_ProgramField_With_ValidData"
"","1","User_Can_SearchBy_ProgramField_With_INValidData","Educatly suite","Mon Aug 12 12:18:25 EEST 2024","broken","Mon Aug 12 12:18:25 EEST 2024","TestCases.TC01_SearchByProgramTest","edgeTests","TestCases.TC01_SearchByProgramTest","User_Can_SearchBy_ProgramField_With_INValidData"
"","6961","User_Search_ByBoth_Program_And_Country_With_ValidData","Educatly suite","Mon Aug 12 12:24:39 EEST 2024","passed","Mon Aug 12 12:24:46 EEST 2024","TestCases.TC03_CombinedSearchTest","ChromeTests","TestCases.TC03_CombinedSearchTest","User_Search_ByBoth_Program_And_Country_With_ValidData"
"","5863","User_Can_SearchBy_ProgramField_With_ValidData","Educatly suite","Mon Aug 12 12:23:50 EEST 2024","passed","Mon Aug 12 12:23:55 EEST 2024","TestCases.TC01_SearchByProgramTest","ChromeTests","TestCases.TC01_SearchByProgramTest","User_Can_SearchBy_ProgramField_With_ValidData"
"","4724","User_Search_ByBoth_Program_And_Country_With_INValidData","Educatly suite","Mon Aug 12 12:24:50 EEST 2024","passed","Mon Aug 12 12:24:55 EEST 2024","TestCases.TC03_CombinedSearchTest","ChromeTests","TestCases.TC03_CombinedSearchTest","User_Search_ByBoth_Program_And_Country_With_INValidData"
"","6701","User_Search_ByBoth_Program_And_Country","Default Suite","Mon Aug 12 01:05:32 EEST 2024","failed","Mon Aug 12 01:05:39 EEST 2024","TestCases.TC03_CombinedSearchTest","EducaltyProject","TestCases.TC03_CombinedSearchTest","User_Search_ByBoth_Program_And_Country"
